2022-03,이용금액,할부
인프랩,26600,1/7
g마켓,2100,2/7
삼천리,8400,2/7
전기세,14077,2/7
LGU+,59705,2/5
멀티캠퍼스,10500,3/7
LGU+,32756,3/10
쿠팡,10300,3/7
쿠팡,5955,3/10
무신사,8300,4/7
무신사,13000,4/7
공감치과,47645,5/12
LGU+,41451,6/10
인프랩,27500,6/7
LGU+,40331,7/10
무신사,13418,7/12
번개장터,32825,7/12
티모넷,4581,8/12
LGU+,31107,7/10
KCP,6700,8/12
전기세,6544,8/12
LGU+,27883,9/10
쿠팡,2294,9/18
쿠팡,5169,9/18
LGU+,23056,10/10
쿠팡,17271,11/12
쿠팡,3424,12/18
LGU+,20000,12/18
번개장터,21916,12/18
쿠팡,10988,13/18
쿠팡,3633,14/18
쿠팡,5285,14/18
KCP,12670,13/18
쿠팡,6936,14/18
LGU+,19846,13/18
쿠팡,3263,18/18
쿠팡,6221,18/18
이마트,9462,17/18
LGU+,28000,17/18