2022-03,이용금액,할부
스케쳐스포츠,3700,22/24
쿠팡,2200,22/24
KT,6900,23/24
아식스,2800,22/24
KT,14800,22/26
미니스톱,2200,21/24
KT,15500,21/24
쿠팡,2900,20/24
쿠팡,2200,20/24
씨유,2200,20/24
베이프갱스터,3600,19/29
LGU+,16300,18/30
쿠팡,3100,17/18
쿠팡,10400,15/25
쿠팡,4400,12/12
쿠팡,40700,12/24
쿠팡,3300,12/24
이마트,56200,10/24
쿠팡,2100,8/24
쿠팡,5900,7/12
번개장터,27600,7/12
번개장터,4500,7/12
거상,8200,7/12
티모넷,8500,7/12
쿠팡,6900,7/24
무신사,12200,7/11
쿠팡,5000,7/24
무신사,36600,7/7
쿠팡,2100,6/24
쿠팡,2200,6/24
쿠팡,1700,6/24
쿠팡,2300,6/24
쿠팡,4200,6/24
인프런,23500,5/7
LGU+,29400,5/10
인프런,9400,5/7
인프런,25100,4/7
LGU+,31000,4/10
쿠팡,700,2/7
쿠팡,18300,2/7
다우데이타,12100,2/7